ID	Original Text	Translated Text
6443	If you need to eject your reactor core. remember to reroute power from auxiliary systems so you can maneuver your ship away from the unstable core.	If you need to eject your reactor core. remember to reroute power from auxiliary systems so you can maneuver your ship away from the unstable core.
6444	If you don't have an antivirus program installed and your ship is infected with a virus. you can restart the ship with the startup switchboard to clear any viruses.	If you don't have an antivirus program installed and your ship is infected with a virus. you can restart the ship with the startup switchboard to clear any viruses.
6445	When restarting your ship from the startup switchboard. remember to reboot your ship's computer screens by pressing Manual Override at the Scientist's station.	When restarting your ship from the startup switchboard. remember to reboot your ship's computer screens by pressing Manual Override at the Scientist's station.
6446	Sylvassi characters can activate a personal cloak that makes them invisible. This ability will last for a short time or until they fire a weapon.	Sylvassi characters can activate a personal cloak that makes them invisible. This ability will last for a short time or until they fire a weapon.
6447	Overcharge gives your ship a boost of power. but too much will cause your ship to shut down.	Overcharge gives your ship a boost of power. but too much will cause your ship to shut down.
6448	Certain asteroids. heat vents. and nearby stars can emit a lot of heat. If your ship stays near the heat source for too long. it will overheat and spawn fires.	Certain asteroids. heat vents. and nearby stars can emit a lot of heat. If your ship stays near the heat source for too long. it will overheat and spawn fires.
6449	If a fire on your ship grows too big. it will diminish your oxygen supply. With no oxygen. fires will die out on their own. but crewmembers that need oxygen will be harmed unless they put on exosuits.	If a fire on your ship grows too big. it will diminish your oxygen supply. With no oxygen. fires will die out on their own. but crewmembers that need oxygen will be harmed unless they put on exosuits.
6450	Damaged ship systems can spawn fires. Check the status screen to determine if any of your ship systems are damaged or on fire.	Damaged ship systems can spawn fires. Check the status screen to determine if any of your ship systems are damaged or on fire.
6451	Some turrets and handheld weaponry are better suited for short range combat. Be sure to check the range of your turrets and accuracy of your weapons before getting into a fight.	Some turrets and handheld weaponry are better suited for short range combat. Be sure to check the range of your turrets and accuracy of your weapons before getting into a fight.
6452	Coolant is cheap and available at any trading station. Don't hesitate to use it.	Coolant is cheap and available at any trading station. Don't hesitate to use it.
6453	When firing the main turret. holding the button until the two red rings are aligned will boost the turret's damage.	When firing the main turret. holding the button until the two red rings are aligned will boost the turret's damage.
6454	Missions received through long range comms are usually timed and must be completed within a certain jump count. Keep an eye on your remaining jumps under the mission's objectives in your TAB menu.	Missions received through long range comms are usually timed and must be completed within a certain jump count. Keep an eye on your remaining jumps under the mission's objectives in your TAB menu.
6455	Mission items are usually labeled blue and cannot be sold at shops. If your mission requires an item that isn't labeled blue. remember not to sell it!	Mission items are usually labeled blue and cannot be sold at shops. If your mission requires an item that isn't labeled blue. remember not to sell it!
6456	The atomizer is for extracting chemical compounds from research materials. Research materials will indicate which compounds they contain under their description in the inventory menu. If an item doesn't contain a compound for research. it won't increase the reserves of your research station.	The atomizer is for extracting chemical compounds from research materials. Research materials will indicate which compounds they contain under their description in the inventory menu. If an item doesn't contain a compound for research. it won't increase the reserves of your research station.
6457	In addition to checking cargo. inspection bots will search lockers and your personal inventory for contraband. You can use the atomizer to get rid of illicit items before a cargo inspection.	In addition to checking cargo. inspection bots will search lockers and your personal inventory for contraband. You can use the atomizer to get rid of illicit items before a cargo inspection.
6458	It's often a good idea to have more than one shield boost program installed on your ship.	It's often a good idea to have more than one shield boost program installed on your ship.
6459	Check the status screen to determine if an enemy ship has a functioning life support system before boarding without an exosuit.	Check the status screen to determine if an enemy ship has a functioning life support system before boarding without an exosuit.
6460	An enemy ship can be boarded when its shield drops below its quantum shield percentage.	An enemy ship can be boarded when its shield drops below its quantum shield percentage.
6461	An instant antivirus program is always useful. even if your ship has a high cyberdefense rating.	An instant antivirus program is always useful. even if your ship has a high cyberdefense rating.
6462	When your ship has high enough detection of an enemy vessel. the Scientist can use sensor exploits to target damage and weaken the enemy ship.	When your ship has high enough detection of an enemy vessel. the Scientist can use sensor exploits to target damage and weaken the enemy ship.
6463	Every warp or expending of a fuel capsule spawns a clip in the ammo crate. Remember to pick it up.	Every warp or expending of a fuel capsule spawns a clip in the ammo crate. Remember to pick it up.
6464	The Scientist can drag and drop programs to change their recharge order.	The Scientist can drag and drop programs to change their recharge order.
6465	The Sylvassi Cypher Lab can teach you how to solve the cyphers found on planets across the galaxy.	The Sylvassi Cypher Lab can teach you how to solve the cyphers found on planets across the galaxy.
6466	The healing beam rifle can heal multiple crewmembers at the same time and can also damage enemies.	The healing beam rifle can heal multiple crewmembers at the same time and can also damage enemies.
6467	Weapon damage is increased if you get a headshot on an enemy.	Weapon damage is increased if you get a headshot on an enemy.
6468	A glowing blue spot on an asteroid or space debris indicates that there is a research material or experience. The Scientist can pick it up by firing a sensor probe at it.	A glowing blue spot on an asteroid or space debris indicates that there is a research material or experience. The Scientist can pick it up by firing a sensor probe at it.
6469	As a Colonial Union or W.D. Corporation crew. you will lose reputation with your faction if you refuse mission orders from your headquarters.	As a Colonial Union or W.D. Corporation crew. you will lose reputation with your faction if you refuse mission orders from your headquarters.
6470	Chaos increases the overall difficulty of the game. Chaos is gained by warping. fighting other ships. and performing acts of piracy.	Chaos increases the overall difficulty of the game. Chaos is gained by warping. fighting other ships. and performing acts of piracy.
6471	The list of ships on the upper right of the screen are arranged by distance from your position. The first ship on that list is the one you are currently closest to.	The list of ships on the upper right of the screen are arranged by distance from your position. The first ship on that list is the one you are currently closest to.
6472	The captain button in the crew section of the TAB menu can be used by the Captain to adjust the crew's allowance and create custom orders.	The captain button in the crew section of the TAB menu can be used by the Captain to adjust the crew's allowance and create custom orders.
6473	Inventory items have weight. Exceeding your weight limit will lower your speed and prevent you from sprinting.	Inventory items have weight. Exceeding your weight limit will lower your speed and prevent you from sprinting.
6474	HealBerryAOE	HealBerryAOE
6475	SpicyAOE	SpicyAOE
6476	Molten	Molten
6477	Accuracy Bonus	Accuracy Bonus
6478	Damage Resistance	Damage Resistance
6479	Fire Resistance	Fire Resistance
6480	Health Regen	Health Regen
6481	Oxygen Bonus	Oxygen Bonus
6482	Long Life Biscuit	Long Life Biscuit
6483	Stamina Bonus	Stamina Bonus
6484	Super Full	Super Full
6485	Increased weapon damage	Increased weapon damage
6486	Increased biscuit sell success chance	Increased biscuit sell success chance
6487	Damaging nearby enemies	Damaging nearby enemies
6488	Increased grenade damage	Increased grenade damage
6489	Gun Cooling	Gun Cooling
6490	Lifesteal	Lifesteal
6500	[STR0] revived you!	[STR0] revived you!
6501	Environment	Environment
6502	No Oxygen	No Oxygen
6503	Radiation	Radiation
6535	   Health 	   Health 
6536	[PL] has died [STR0]	[PL] has died [STR0]
6537	Pawn: 	Pawn: 
6538	Pos: 	Pos: 
6539	LocalPos: 	LocalPos: 
6540	Parent: 	Parent: 
6541	PullLever	PullLever
6542	DropItem	DropItem
6543	PushButton	PushButton
6544	PushButton2	PushButton2
6545	Armored 	Armored 
6546	Swift 	Swift 
6547	Brutal 	Brutal 
6548	Elite 	Elite 
6549	Silent 	Silent 
6550	Irradiated 	Irradiated 
6551	Neglected 	Neglected 
6552	Secure 	Secure 
6553	Vulnerable 	Vulnerable 
6554	Corrupted 	Corrupted 
6555	Legendary 	Legendary 
6556	Reputable 	Reputable 
6557	Evasive 	Evasive 
6558	Frozen 	Frozen 
6559	 ( TALKING )	 ( TALKING )
6560	X2	X2
6582	[PL] has processed some scrap (+[STR0])	[PL] has processed some scrap (+[STR0])
6593	Range (m)	Range (m)
6594	Aim Factor	Aim Factor
6595	Destroy Systems	Destroy Systems
6596	Claim Ship	Claim Ship
6597	Fight Enemy Crew	Fight Enemy Crew
6598	Program Priority	Program Priority
6599	Engineering	工程
6600	Science Lab	科学实验室
6614	's Stuff	's Stuff
6616	You have been kicked from the game!	You have been kicked from the game!
6620	[STR0]	[STR0]
6621	[STR1]	[STR1]
6626	[PL] has dropped an item: [STR0]	[PL] has dropped an item: [STR0]
6627	<color='#{0}'>[{1}]</color>	<color='#{0}'>[{1}]</color>
6628	[PL]	[PL]
6648	DATA FRAGMENT COLLECTED	DATA FRAGMENT COLLECTED
6649	Gained 	Gained 
6650	Prefabs/WarpInEffect	Prefabs/WarpInEffect
6651	Prefabs/WarpOutEffect	Prefabs/WarpOutEffect
6652	[STR2]	[STR2]
6653	[STR3]	[STR3]
6654	<color='#	<color='#
6655	'>[	'>[
6656	]</color>$	]</color>$
6657	'>	'>
6658	 </color>$	 </color>$
6659	REP	REP
6660	approved_npc_names	approved_npc_names
6661	StarmapNetworkUpdatePlayer	StarmapNetworkUpdatePlayer
6662	CHAOS EVENT: 	CHAOS EVENT: 
6663	Inf gained 	Inf gained 
6664	 sectors	 sectors
6665	MISSION COMPLETED	MISSION COMPLETED
6666	MSN	MSN
6667	NEW MISSION ACCEPTED	NEW MISSION ACCEPTED
6668	[PL] has started mission: [STR0]	[PL] has started mission: [STR0]
6669	NONE	NONE
6701	male	male
6702	female	female
6703	 The Hunter	 The Hunter
6704	Bounty Hunter Detected	Bounty Hunter Detected
6705	[SHIP]	[SHIP]
6706	[PL] is using a lot of ammo	[PL] is using a lot of ammo
6707	FB_WIN	FB_WIN
6708	FB Command	FB Command
6709	FB_SURVIVE	FB_SURVIVE
6710	Attempting to get verified	Attempting to get verified
6711	DMG	伤害
6712	Kicking unverified player: 	Kicking unverified player: 
6713	Crew Alignment Lost	Crew Alignment Lost
6714	Your ship has been flagged due to rep loss!	Your ship has been flagged due to rep loss!
6715	CHAOS LEVEL HAS INCREASED	CHAOS LEVEL HAS INCREASED
6716	CHS	CHS
6717	Simple Combat Bot Player	Simple Combat Bot Player
6718	Captain Spriggs	Captain Spriggs
6719	The Alchemist	The Alchemist
6720	Resolution	Resolution
6721	Yolsef	Yolsef
6723	CapBot	CapBot
6724	PiBot	PiBot
6725	SciBot	SciBot
6726	WeapBot	WeapBot
6727	EngBot	EngBot
6745	[STR0] has left the crew!	[STR0] 已离开舰员！
6747	has joined the crew!	已加入舰员！
6748	[&%~[C	[&%~[C
6749	 ]&%~]	 ]&%~]
6750	is now	现在是
6751	 [&%~[C	 [&%~[C
6752	The	The
6753	is now The 	is now The 
6754	 ...	 ...
6755	 <	 <
6756	> ]&%~]: 	> ]&%~]: 
6757	ENEMY SHIP CLAIM REMOVED!	ENEMY SHIP CLAIM REMOVED!
6758	SHIP CLAIMED!	SHIP CLAIMED!
6759	YOUR SHIP HAS BEEN STOLEN!	YOUR SHIP HAS BEEN STOLEN!
6762	[PL] turned off the Oxygen Gen. aux system	[PL] 关闭氧气辅助信息系统
6763	[PL] turned off the Cyberdefense aux system	[PL] 关闭网络防御辅助系统
6764	[PL] has set the reactor coolant pump to highest setting	[PL] has set the reactor coolant pump to highest setting
6765	CREW IS NOW LEVEL 	CREW IS NOW LEVEL 
6766	!	!
6767	Crew level has increased to [STR0]	Crew level has increased to [STR0]
6768	LVL	LVL
6769	[PL] has paused the jump prep	[PL] has paused the jump prep
6770	[PL] has started jump prep	[PL] has started jump prep
6771	[PL] has executed a program: [STR0]	[PL] has executed a program: [STR0]
6777	[PL] has jumped the ship	[PL] has jumped the ship
6778	Low fuel warning! Only [STR0] fuel left!	Low fuel warning! Only [STR0] fuel left!
6779	[PL] has changed the distress signal	[PL] has changed the distress signal
6780	[PL] has activated the distress signal	[PL] has activated the distress signal
6781	[PL] has deactivated the distress signal	[PL] has deactivated the distress signal
6782	[PL] has manually charged programs	[PL] has manually charged programs
6783	Bot	Bot
6811	Ship has automatically shutdown due to active virus overload	Ship has automatically shutdown due to active virus overload
6813	[PL] has enabled reactor safety	[PL] has enabled reactor safety
6814	[PL] has disabled reactor safety	[PL] has disabled reactor safety
6815	shut down	shut down
6816	started up	started up
6817	[PL] [STR0] the ship	[PL] [STR0] the ship
6818	[PL] [STR0] the warp core	[PL] [STR0] the warp core
6819	[PL] [STR0] the shields	[PL] [STR0] the shields
6820	SetStartupSwitchStatus blocked!	SetStartupSwitchStatus blocked!
6821	SetLastStartWarpPrimeTime blocked!	SetLastStartWarpPrimeTime blocked!
6822	SetLastStartBootTime blocked!	SetLastStartBootTime blocked!
6823	SetCrewControlStatus blocked!	SetCrewControlStatus blocked!
6824	[PL] has attacked a friendly ship system: Engineering	[PL] has attacked a friendly ship system: Engineering
6825	[PL] has attacked a friendly ship system: Weapons	[PL] has attacked a friendly ship system: Weapons
6826	[PL] has attacked a friendly ship system: Life Support	[PL] has attacked a friendly ship system: Life Support
6827	[PL] has attacked a friendly ship system: Computer Sys	[PL] has attacked a friendly ship system: Computer Sys
6828	[PL] has launched the nuclear device: [STR0]	[PL] has launched the nuclear device: [STR0]
6830	[PL] has detonated the nuclear device: [STR0]	[PL] has detonated the nuclear device: [STR0]
6833	-$	-$
6834	Level 	Level 
6835	Airlock	Airlock
6836	Hidden Cargo	隐藏货箱
6837	Processor	处理器
6838	Hull Plating	船体镀层
6839	Main Turret	主炮塔
6840	Nuclear Device	核装置
6841	O2 Generator	制氧机
6842	Warp Drive Program	软件程序
6843	Sensor Array	传感器阵列
6844	Shield Generator	护盾发生器
6845	Teleporter	Teleporter
6846	Main Thruster	主推进器
6847	Missile Silo	导弹发射井
6848	Auto Turret	自动炮塔
6849	Virus	病毒
6850	Warp Drive	跃迁引擎
6851	Special Component	Special Component
6852	Inertia Thruster	惯性推进器
6853	Maneuvering Thruster	机动性推进器
6854	Captain's Chair	舰长椅
6855	Extractor	提取器
6856	Recipe Module	食谱模块
6857	Biscuit Bomb	饼干炸弹
6858	Sensor Dish	感应碟
6859	Cloaking System	隐形装置
6860	Polytech Module	理工学院模块
6871	Must complete Find the Lost Colony campaign	必须完成寻找失落的殖民地战役
6874	ATOMIZER	雾化器
6877	READY	准备
6892	Load Research Samples into the Atomizer to discover and research new talents	将研究样本装入器皿里面.发现和研究新的物品与技术
6893	ResearchDesc	研究报告
6894	ResearchButton	研究按钮
6895	RESEARCH	研究
6896	[PL] has revealed the crew's reputation	[PL] has revealed the crew's reputation
6905	EXTRACTION TARGET	提取目标
6906	Salvage_ShipName	援救_舰船名字
6907	SHIPNAME	舰船名字
6908	Can't upgrade components without Component Upgrader talent	Can't upgrade components without Component Upgrader talent
6909	Can't upgrade components without repair depot	Can't upgrade components without repair depot
6910	Component can't be upgraded any more!	Component can't be upgraded any more!
6911	Can't afford component upgrade. Process more scrap!	Can't afford component upgrade. Process more scrap!
6912	Can't upgrade items without Item Upgrader talent	Can't upgrade items without Item Upgrader talent
6913	Item can't be upgraded any more!	Item can't be upgraded any more!
6914	Can't afford item upgrade. Process more scrap!	Can't afford item upgrade. Process more scrap!
6918	ITEM UPGRADER	ITEM UPGRADER
6924	UPGRADE	UPGRADE
6931	next	next
6934	prev	prev
6935	StarSalvage Systems	StarSalvage Systems
6937	EXTRACT	EXTRACT
6938	[PL] has begun to prime the cloaking system	[PL] has begun to prime the cloaking system
6939	[PL] has cancelled priming the cloaking system	[PL] has cancelled priming the cloaking system
6940	[PL] has activated the cloaking system	[PL]已启动隐形系统
6941	   ->   	   ->   
6942	No Item	No Item
6943	Process scrap to upgrade items!	处理废料.升级物品！
6944	Place an Item here to Upgrade it!	Place an Item here to Upgrade it!
6945	No extractor installed	未安装提取器
6946	UPG	UPG
6947	[[STR0]] upgraded by [STR1] to Level [STR2]	[[STR0]] upgraded by [STR1] to Level [STR2]
6948	[PL] has upgraded an item: [STR0]	[PL] has upgraded an item: [STR0]
6949	[PL] has upgraded a component: [STR0]	[PL] has upgraded a component: [STR0]
6950	[STR0] UPGRADED!	[STR0] UPGRADED!
6951	EXT	EXT
6952	Extraction of [[STR0]] attempted by [STR1]	Extraction of [[STR0]] attempted by [STR1]
6953	[PL] has attempted to extract: [STR0]	[PL] has attempted to extract: [STR0]
6954	killed	killed
6955	SCIENCE LAB	科学实验室
6956	Shield Processors	护盾处理器
6957	Other Processors	其它处理器
6958	WEAPONS	武器
6959	Auto Turrets	自动炮塔
6960	ENGINEERING	工程
6961	Main Thrusters	主推进器
6962	Rotational Thrusters	旋转推进器
6963	Maneuver Thrusters	机动推进器
6964	LIFE SUPPORT	LIFE SUPPORT
6965	[PL] has changed component power settings	[PL] has changed component power settings
6968	Fill Area	Fill Area
6969	Usage	Usage
6970	Fill	Fill
6971	Handle Area	Handle Area
6972	PowerBarTriangle	PowerBarTriangle
6973	PowerBarLabel	PowerBarLabel
6974	ShipWorldUICanvas	ShipWorldUICanvas
6975	DialogueBG	DialogueBG
6976	CloseCommsBtnGO	CloseCommsBtnGO
6977	DialogueChoiceBGTimer	DialogueChoiceBGTimer
6978	RevealCrewRep	RevealCrewRep
6979	RevealCrewRepText	RevealCrewRepText
6980	Reveal Crew Rep	Reveal Crew Rep
6981	dialogueGlitch	dialogueGlitch
6982	DialogueTitle	DialogueTitle
6983	DialogueTextRight	DialogueTextRight
6984	DialogueText	DialogueText
6990	Warp	Warp
6991	Targeting	Targeting
6994	[PL] has started new research: [STR0]	[PL] has started new research: [STR0]
6995	Open	Open
6996	drtc	drtc
6998	Researching 	Researching 
6999	 more warp drive activations needed to complete research.	 more warp drive activations needed to complete research.
7000	[STR0] added one more fuel capsule!	[STR0] added one more fuel capsule!
7001	$$<size=9>	$$<size=9>
7002	RANKS	RANKS
7003	RANK	RANK
7004	ALL CLASS TALENT 	ALL CLASS TALENT 
7005	CAPTAIN TALENT 	CAPTAIN TALENT 
7006	PILOT TALENT 	PILOT TALENT 
7007	SCIENTIST TALENT 	SCIENTIST TALENT 
7008	WEAPONS SPECIALIST TALENT 	WEAPONS SPECIALIST TALENT 
7009	ENGINEER TALENT 	ENGINEER TALENT 
7010	Warp Charges To Research:	Warp Charges To Research:
7011	</size>	</size>
7012	Crew Rep Is Revealed	Crew Rep Is Revealed
7029	Cloak$NEEDS POWER	Cloak$NEEDS POWER
7030	Cloak$SHIELDS < 50%	Cloak$护盾 < 50%
7031	Cloak$ACTIVE	Cloak$ACTIVE
7032	Cloak$INACTIVE	Cloak$INACTIVE
7033	Cloak$PRIMING	Cloak$PRIMING
7034	Cloak$READY	Cloak$READY
7035	INTRUDER ALARM!	INTRUDER ALARM!
7052	+1 XP (unvisited sector)	+1 XP (unvisited sector)
7053	[STR0] generated 1 processed scrap	[STR0] generated 1 processed scrap
7062	Shield	Shield
7064	[PL] has damaged the ship in a collision	[PL] has damaged the ship in a collision
7069	[ff0000]Combat Level: ???[-]	[ff0000]Combat Level: ???[-]
7070	[ffff00]	[ffff00]
7071	[ff0000]	[ff0000]
7072	[00ff00]	[00ff00]
7073	Combat Level: 	Combat Level: 
7074	[-]	[-]
7075	[ff0000]ELEVATED RADIATION LEVELS![-]	[ff0000]ELEVATED RADIATION LEVELS![-]
7076	is a match to ship type: 	is a match to ship type: 
7077	appears to be abandoned.	appears to be abandoned.
7078	is potentially hostile and armed.	is potentially hostile and armed.
7079	is currently hostile and armed.	is currently hostile and armed.
7080	can detect you.	can detect you.
7081	can't detect you.	can't detect you.
7082	is this vessel.	is this vessel.
7083	is registered as 	is registered as 
7084	has been flagged	has been flagged
7085	is a match to GX entry 	is a match to GX entry 
7086	has armored mod	has armored mod
7087	has comms mod	has comms mod
7088	has swift mod	has swift mod
7089	has turret mod	has turret mod
7090	has elite mod	has elite mod
7091	has missile defense mod	has missile defense mod
7092	has reckless mod	has reckless mod
7093	has reputable mod	has reputable mod
7094	has silent mod	has silent mod
7095	has unknown modification	has unknown modification
7096	Ship	Ship
7097	Error setting up shipDeterministicRand: PersistantShipInfo == null	Error setting up shipDeterministicRand: PersistantShipInfo == null
7098	Error setting up shipDeterministicRand: PersistantShipInfo.MyCurrentSector == null	Error setting up shipDeterministicRand: PersistantShipInfo.MyCurrentSector == null
7099	exterior	exterior
7100	Hull_Collider_Virtual	Hull_Collider_Virtual
7101	SHIELDS	护盾
7102	CYBER ATTACK	网络攻击
7103	FIREWALL	FIREWALL
7104	+1 XP (from probe research)	+1 XP (from probe research)
7105	+1 XP (from <Probe Specialty: XP Gain> talent)	+1 XP (from <Probe Specialty: XP Gain> talent)
7106	+1 [STR0] to supply (from probe research)	+1 [STR0] to supply (from probe research)
7107	ps_timed_stats_layout	ps_timed_stats_layout
7108	ps_timed_stats_crew	ps_timed_stats_crew
7109	ps_timed_stats_ship_comp_reactor	ps_timed_stats_ship_comp_reactor
7110	ps_timed_stats_ship_comp_shield_gen	ps_timed_stats_ship_comp_shield_gen
7111	ps_timed_stats_ship_comp_hull	ps_timed_stats_ship_comp_hull
7112	ps_timed_stats_ship_comp_warp_dr	ps_timed_stats_ship_comp_warp_dr
7113	ps_timed_stats_ship_comp_turret	ps_timed_stats_ship_comp_turret
7114	ps_timed_stats_ship_comp_main_turret	ps_timed_stats_ship_comp_main_turret
7115	ps_timed_stats_ship_comp_	ps_timed_stats_ship_comp_
7116	ps_timed_stats_ship_comp: 	ps_timed_stats_ship_comp: 
7117	ps_timed_stats_ship_comp_chaos_lvl_	ps_timed_stats_ship_comp_chaos_lvl_
7118	ps_timed_stats_fragment	ps_timed_stats_fragment
7119	lvl	lvl
7120	ps_timed_stats_chaos_lvl	ps_timed_stats_chaos_lvl
7121	ps_timed_stats_crew_lvl	ps_timed_stats_crew_lvl
7122	count	count
7123	ps_timed_stats_num_human_players	ps_timed_stats_num_human_players
7124	ps_timed_stats_num_bot_players	ps_timed_stats_num_bot_players
7125	ps_timed_stats_ship_type	ps_timed_stats_ship_type
7126	-----------------	-----------------
7127	 DPS Report (3 min avg)	 DPS Report (3 min avg)
7128	 damage: 	 damage: 
7129	_BumpAmt	_BumpAmt
7130	_BumpMap	_BumpMap
7131	_BaseIllum	_BaseIllum
7132	AI_AutoShipTargetingEnabled	AI_AutoShipTargetingEnabled
7133	power	power
7134	Fw	Fw
7135	rv	rv
7136	stop	stop
7137	Thurst test	Thurst test
7138	reverse thrust?	reverse thrust?
7139	stop thrust sound	stop thrust sound
7140	ExteriorRigidbody	ExteriorRigidbody
7141	MyStats.Update	MyStats.Update
7142	PLShipInfoBase.AboutToBeDestroyed 	PLShipInfoBase.AboutToBeDestroyed 
7143	target_ship_type	target_ship_type
7144	-1	-1
7145	player_ship_type	player_ship_type
7146	enemy_ship_destroyed	enemy_ship_destroyed
7147	INFO	INFO
7148	[STR0] was somehow able to still report with blocked long range comms!	[STR0] was somehow able to still report with blocked long range comms!
7149	-2 Rep for [STR0] (due to destroying ship)	-2 Rep for [STR0] (due to destroying ship)
7150	[STR0] appears to have been important!	[STR0] appears to have been important!
7151	Additional -2 Rep for [STR0] (due to destroying ship)	Additional -2 Rep for [STR0] (due to destroying ship)
7152	Long range transmission blocked (prevented Reputation loss)	Long range transmission blocked (prevented Reputation loss)
7153	CR	CR
7154	+[STR0] Credits (from enemy ship kill)	+[STR0] Credits (from enemy ship kill)
7155	+[STR0] Credits (from Scavenger bonus)	+[STR0] Credits (from Scavenger bonus)
7156	You earned 1 XP (from enemy ship kill)	You earned 1 XP (from enemy ship kill)
7157	+[STR0] Chaos (from enemy ship kill)	+[STR0] Chaos (from enemy ship kill)
7158	player_ship_destroyed	player_ship_destroyed
7159	SMP	SMP
7160	-1 Rep for [STR0] (due to attacking ship)	-1 Rep for [STR0] (due to attacking ship)
7161	Additional -1 Rep for [STR0] (due to attacking ship)	Additional -1 Rep for [STR0] (due to attacking ship)
7162	 [	 [
7163	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] shield damage[STR3]	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] shield damage[STR3]
7164	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] hull damage[STR3]	<color=white>[STR0]</color> damaged <color=white>[STR1]</color> for [STR2] hull damage[STR3]
7165	HullCreak	HullCreak
7166	ShieldAbsorbDamage	ShieldAbsorbDamage
7167	SmallShieldAbsorbDamage	SmallShieldAbsorbDamage
7168	PlayerDefeatByEnemyShip	PlayerDefeatByEnemyShip
7169	SK	SK
7170	<color=white>[STR0]</color> destroyed <color=white>[STR1]</color>	<color=white>[STR0]</color> destroyed <color=white>[STR1]</color>
7171	DefeatEnemyShip	DefeatEnemyShip
7172	ShipInfoBase.EndWarp()    GetCPEI(): 	ShipInfoBase.EndWarp()    GetCPEI(): 
7173	ShipInfoBase.EndWarp()    TOPSEC	ShipInfoBase.EndWarp()    TOPSEC
7174	Hull$	Hull$
7175	Shields$	Shields$
7176	removing virus from send queue: id-	removing virus from send queue: id-
7177	EM SWEEP COMPLETED	EM SWEEP COMPLETED
7178	The EM sweep has been completed!	The EM sweep has been completed!
7179	QT SWEEP COMPLETED	QT SWEEP COMPLETED
7180	No new objects were detected during the sweep!	No new objects were detected during the sweep!
7181	TLI	TLI
7182	Probe	Probe
7183	SetupNewSortID: FlagForSelfDestruction$VisualSlotType:	SetupNewSortID: FlagForSelfDestruction$VisualSlotType:
7184	$maxSortID:	$maxSortID:
7185	   isMC: 	   isMC: 
7186	AddShipComponent on client without netid!	AddShipComponent on client without netid!
7187	AddShipComponent (virus)   	AddShipComponent (virus)   
7188	   ship: 	   ship: 
7189	RemoveShipComponent (virus)   	RemoveShipComponent (virus)   
7190	[STR0] prevented lethal damage to ship and repaired the hull to 15%. It has been destroyed!	[STR0] prevented lethal damage to ship and repaired the hull to 15%. It has been destroyed!
7191	Self-Destructing Comp: 	Self-Destructing Comp: 
7192	AllOfType is NULL	AllOfType is NULL
7193	Trade Menu	Trade Menu
7194	is broadcasting on a trading/commerce channel.	is broadcasting on a trading/commerce channel.
7195	does not appear to be hostile.	does not appear to be hostile.
7196	Text	Text
7197	Open Trading Window	Open Trading Window
7198	Install Ship Components	安装/修复飞船
7199	Gruff’s Stuff	Gruff’s Stuff
7200	Fine goods and services	Fine goods and services
7201	You look like a fine bunch of people! My shop is open to you any time!	You look like a fine bunch of people! My shop is open to you any time!
7202	???	???
7203	This is a store. Buy something	This is a store. Buy something
7204	... Buy or leave.	... Buy or leave.
7205	Corbin's Emporium	Corbin's Emporium
7206	The BEST COMPONENTS on this side of the GALAXY! No refunds.	The BEST COMPONENTS on this side of the GALAXY! No refunds.
7207	Greetings. Are you having pleasant travels? Yes? No? It doesn’t matter. I’ve got what you’ve need. GUARANTEED!	Greetings. Are you having pleasant travels? Yes? No? It doesn’t matter. I’ve got what you’ve need. GUARANTEED!
7208	Fluffy Biscuit Company Goods	Fluffy Biscuit Company Goods
7209	Recipe vender	Recipe vender
7210	Swap out your recipes here! Sell more biscuits!	Swap out your recipes here! Sell more biscuits!
7211	Fluffy Biscuit General Shop	Fluffy Biscuit General Shop
7212	Biscuit vender	Biscuit vender
7213	Thanks for choosing the Fluffy Biscuit Company!	Thanks for choosing the Fluffy Biscuit Company!
7214	Automated Trading Station	自动交易站
7215	General goods vendor	General goods vendor
7216	GOODS FOR SALE. PURCHASE YES	你有物品需要买卖吗.在看自己的口袋.来,别怕,我送你些！
7217	CPU Shop	CPU Shop
7218	Programs Shop	Programs Shop
7219	Quality scrap for affordable prices.	Quality scrap for affordable prices.
7220	This scrap will get you where you're going! You gotta process it yourself though.	This scrap will get you where you're going! You gotta process it yourself though.
7221	Comet Shop	Comet Shop
7222	Unique Processors	Unique Processors
7223	Sylvassi Shop	Sylvassi Shop
7224	Virus Shop	Virus Shop
7225	Piloting Info	Piloting Info
7226	Camera Mode	Camera Mode
7227	Flight Mode	Flight Mode
7228	PilotCameraMode	PilotCameraMode
7229	PilotControlMode	PilotControlMode
7230	First person piloting not available in The Academy!	First person piloting not available in The Academy!
7231	VRFlightCameraLocked	VRFlightCameraLocked
7232	MouseSensitivity_Piloting	MouseSensitivity_Piloting
7233	InvertMouseY_Piloting	InvertMouseY_Piloting
7234	AI Priority Data: Outdated Version!	AI Priority Data: Outdated Version!
7235	We have updated the default AI priorities. We have detected that your AI data is from an old version and recommend resetting your AI priorities to get the changes. $$INFO: Resetting your AI data will erase any modifications you may have made to your bot priorities!	We have updated the default AI priorities. We have detected that your AI data is from an old version and recommend resetting your AI priorities to get the changes. $$INFO: Resetting your AI data will erase any modifications you may have made to your bot priorities!
